row_id,Prediction,PredictedLabel,Explanation 1 Strength,Explanation 1 Feature,Explanation 1 Value,Explanation 2 Strength,Explanation 2 Feature,Explanation 2 Value,Explanation 3 Strength,Explanation 3 Feature,Explanation 3 Value
0,0.0030029769245666247,0,,,,,,,,,
1,0.0018042965846710743,0,,,,,,,,,
2,0.0009123101396409953,0,---,month,'may',---,duration,'76',--,contact,'unknown'
3,0.001995815919879086,0,,,,,,,,,
4,0.003628267254149431,0,,,,,,,,,
5,0.0009831975616505998,0,---,contact,'unknown',---,month,'may',--,duration,'139'
6,0.0025728813481919474,0,,,,,,,,,
7,0.01929794334582866,0,,,,,,,,,
8,0.0008770292240933243,0,---,duration,'50',---,month,'may',--,contact,'unknown'
9,0.001016324537513219,0,---,duration,'55',---,month,'may',--,day,'5'
10,0.00337457067341299,0,,,,,,,,,
11,0.0031621603475941603,0,,,,,,,,,
12,0.05008754305770076,0,,,,,,,,,
13,0.0011879185414484551,0,---,month,'may',---,duration,'71',--,contact,'unknown'
14,0.0015221692586322296,0,---,month,'may',---,contact,'unknown',--,duration,'174'
15,0.0026767546549543203,0,,,,,,,,,
16,0.0020397561156264084,0,,,,,,,,,
17,0.0005920957920057022,0,---,duration,'38',--,month,'may',--,day,'5'
18,0.002044929766184069,0,,,,,,,,,
19,0.0006805572204921364,0,---,duration,'54',---,month,'may',--,contact,'unknown'
20,0.0023723166596263715,0,,,,,,,,,
21,0.0027796216429903835,0,,,,,,,,,
22,0.0009460734925299721,0,---,contact,'unknown',---,month,'may',--,duration,'160'
23,0.0031447516651949086,0,,,,,,,,,
24,0.0008918663785120706,0,---,contact,'unknown',---,month,'may',--,duration,'181'
25,0.0013480777525487356,0,---,month,'may',---,contact,'unknown',--,duration,'172'
26,0.003389341123191323,0,,,,,,,,,
27,0.001332436934105721,0,---,month,'may',---,contact,'unknown',--,duration,'127'
28,0.00243935056665933,0,,,,,,,,,
29,0.0032431587500790678,0,,,,,,,,,
30,0.007760272960856099,0,,,,,,,,,
31,0.0033614931222459184,0,,,,,,,,,
32,0.003028167562753469,0,,,,,,,,,
33,0.0019102810649454145,0,,,,,,,,,
34,0.0052884004863977515,0,,,,,,,,,
35,0.0031675995930807313,0,,,,,,,,,
36,0.00224730772897046,0,,,,,,,,,
37,0.31172357589343647,0,,,,,,,,,
38,0.1292963554244615,0,,,,,,,,,
39,0.0012721494084138982,0,---,month,'may',---,contact,'unknown',---,duration,'137'
40,0.00219005562536472,0,,,,,,,,,
41,0.0010526101467485873,0,---,contact,'unknown',---,month,'may',--,duration,'180'
42,0.0009739968393779372,0,---,duration,'22',--,month,'may',--,day,'5'
43,0.27246599247578573,0,,,,,,,,,
44,0.109477297861937,0,,,,,,,,,
45,0.002180033738012487,0,,,,,,,,,
46,0.005212980810013138,0,,,,,,,,,
47,0.0016056277095693589,0,---,contact,'unknown',---,month,'may',--,housing,'yes'
48,0.002626825689244968,0,,,,,,,,,
49,0.006948096146931798,0,,,,,,,,,
50,0.002445892550612944,0,,,,,,,,,
51,0.003045556876053294,0,,,,,,,,,
52,0.0017688390331956575,0,---,contact,'unknown',---,month,'may',--,duration,'179'
53,0.16799609029100673,0,,,,,,,,,
54,0.0013511734248442347,0,---,contact,'unknown',---,month,'may',--,duration,'145'
55,0.003259057969658216,0,,,,,,,,,
56,0.002036809093957878,0,,,,,,,,,
57,0.0007719136543378911,0,---,duration,'13',---,month,'may',--,day,'5'
58,0.0008942857600916141,0,---,contact,'unknown',---,month,'may',--,day,'5'
59,0.25693284879738704,0,,,,,,,,,
60,0.0014894029168730993,0,---,contact,'unknown',---,month,'may',---,duration,'138'
61,0.2981768955970039,0,,,,,,,,,
62,0.0012045795291556677,0,---,month,'may',---,contact,'unknown',--,duration,'164'
63,0.012943228375005614,0,,,,,,,,,
64,0.0035532226415605373,0,,,,,,,,,
65,0.0017934783957199553,0,,,,,,,,,
66,0.10431473646935614,0,,,,,,,,,
67,0.003393725063391674,0,,,,,,,,,
68,0.0013629399690592793,0,---,contact,'unknown',---,month,'may',--,duration,'158'
69,0.002312779999727181,0,,,,,,,,,
70,0.0016587585650701944,0,---,contact,'unknown',---,month,'may',--,duration,'258'
71,0.0013069931679459104,0,---,month,'may',---,contact,'unknown',--,duration,'172'
72,0.001126566374633604,0,---,month,'may',---,contact,'unknown',--,duration,'154'
