trnx_ID,amtFraud,ship_to_alternate_address,is_overnight_shipping,payment_network,payment_type,avs_response_code,number_items,avg_trnx_amount_per_item,is_promo_code_used,guest_checkout,is_night_order,is_phone_valid,email_on_file,session_length_in_mins,cookie_is_seen_before,is_browser_language_translated,is_IP_address_masked,email_domain,number_session_from_IP_past_24hr,ip_in_alternate_zip,dist_ip_to_home_zip,ip_address,Zipcode,Latitude,Longitude
X3JE7UP3QQ,0,0,0,Visa,Credit,N,3,185.0290072,0,1,0,1,0,6,0,0,0,gmail.com,2,0,0,192.65.152.192,36109,32.35,-86.28
I6ZLULW6WZ,0,0,0,Discover,Credit,Y,2,162.6603803,0,0,0,1,1,11,0,0,0,xmaily.com,1,0,0,162.61.13.135,78242,29.45,-98.5
04Z1GWDKOK,0,1,0,Diners Club,Credit,Y,2,12.34301742,0,1,0,1,0,11,0,0,0,gmail.com,4,0,0,194.250.142.190,23188,37.27,-76.7
5VSHFBR1NZ,0,0,1,Mastercard,Credit,Y,3,116.9879494,0,1,0,1,1,7,0,0,0,yopmail.com,2,0,0,26.169.190.228,13619,43.98,-75.6
U1IT4HXM98,0,1,1,Visa,Credit,Y,4,214.5997623,0,0,0,1,1,11,0,0,1,yopmail.com,1,0,0,205.204.226.107,61021,41.84,-89.47
VSMHBP22VE,0,0,0,Amex,Credit,A,1,83.95239435,0,1,0,1,0,22,0,0,1,xmaily.com,1,0,0,200.210.216.236,90606,33.98,-118.06
VJ7153623S,0,1,0,Visa,Credit,Y,1,87.54082014,0,1,0,1,1,11,1,0,0,yopmail.com,2,0,0,217.212.40.111,80537,40.41,-105.07
0LLJNRONJ6,0,0,0,Amex,Credit,Y,3,30.06940816,0,1,0,1,0,15,0,0,0,hotmail.com,1,1,40.25408117,199.174.176.197,10577,41.03,-73.71
6H6W91E600,0,0,0,Visa,Credit,A,2,67.61383744,0,1,1,1,1,14,0,0,0,yahoo.co.uk,3,0,0,222.47.1.255,39341,33.11,-88.56
S666GKS7XS,595.2707033,0,1,Mastercard,Other,Y,5,119.0541407,1,0,0,1,1,19,0,0,0,yopmail.com,2,1,29.7601705,4.84.59.208,85713,32.19,-110.98
79A8DJT9GT,0,0,0,Visa,Credit,Y,6,104.3103156,0,1,1,1,0,20,0,0,0,yopmail.com,2,0,0,51.245.141.143,28645,35.9,-81.53
2UMTX643Y3,0,0,0,Diners Club,Credit,Z,2,35.56663281,0,0,0,1,0,13,0,0,1,xmaily.com,2,1,17.59510859,138.77.5.143,53150,42.89,-88.12
0NGPSY5PDE,0,0,0,JCB,Credit,Y,3,59.08660322,0,1,0,1,0,17,0,1,0,yopmail.com,1,1,9.882423378,193.92.242.66,10461,40.84,-73.87
3LY5FE2OB1,0,0,0,Visa,Credit,Z,1,18.11076812,0,1,0,1,0,13,0,0,0,hotmail.com,1,1,30.87096538,206.160.214.1,18015,40.62,-75.36
XGTV1W0HF6,0,0,0,Mastercard,Credit,Z,3,22.0272603,0,1,0,1,0,14,0,0,1,xmaily.com,1,1,15.93186903,184.14.154.129,93215,35.78,-119.23
F4740ZLFNZ,0,0,1,Mastercard,Debit,Y,3,60.99747386,0,1,0,1,0,16,0,0,0,yahoo.com,1,1,40.90072726,137.235.1.43,40008,37.91,-85.31
PCOI4MC77R,0,1,0,Diners Club,Debit,Y,3,44.17926131,0,0,0,1,0,20,0,0,1,gmail.com,1,0,0,97.82.214.57,91911,32.61,-117.03
UCMUJAEMM2,0,0,0,Visa,Credit,Y,2,111.8876333,0,1,1,1,1,13,0,0,0,gmail.com,3,0,0,99.73.163.254,60617,41.83,-87.68
MNMKTIADDI,0,1,0,Visa,Debit,A,1,37.33871699,1,1,0,1,0,22,0,0,0,gotmail.net,3,0,0,214.80.129.47,90250,33.91,-118.34
2Q1UE9YCP9,0,0,0,Discover,Credit,Y,4,87.07251073,0,1,0,1,0,10,0,0,0,gmail.com,3,0,0,221.171.155.107,77073,29.76,-95.38
MVAIF9CA86,0,0,0,Mastercard,Other,Y,3,18.2769605,0,1,0,1,0,14,0,1,0,gmail.com,1,1,23.86588191,197.105.147.205,32344,30.54,-83.87
OXM4IFUWIV,0,0,0,Diners Club,Credit,Z,1,29.48909431,0,0,0,1,0,21,0,0,0,att.net,1,1,3.203142056,207.154.144.213,72112,35.62,-91.23
RP0NHAFL32,0,0,0,JCB,Credit,Y,2,31.89966939,0,1,0,1,1,15,0,1,1,yahoo.co.uk,2,0,0,58.123.65.161,95969,39.74,-121.61
N4LVVZRSA2,0,0,0,Visa,Debit,Y,3,97.67735018,0,1,0,1,0,7,0,1,0,yahoo.com,1,1,7.273137658,217.148.193.34,62226,38.53,-90
DHNLP0RH4M,0,1,0,Visa,Credit,Y,3,52.44546399,1,1,0,1,1,18,0,0,0,yopmail.com,1,0,0,215.161.14.216,37721,36.12,-83.8
4KK9C8O60T,0,0,1,Other,Credit,Y,5,69.38649727,0,1,0,1,1,13,1,0,0,gmail.com,2,0,0,196.110.247.151,27804,35.95,-77.81
W2O59CUKVL,0,0,1,Mastercard,Credit,A,3,13.15047081,0,1,0,1,1,16,1,0,0,gmail.com,3,1,0,200.66.73.120,92116,32.76,-117.12
WKLWTFKKVR,0,1,0,Discover,Credit,Y,3,25.57405103,0,1,0,1,1,19,0,0,0,gmail.com,2,0,0,177.28.6.53,11706,40.72,-73.25
YXPXICZV8I,0,0,0,Visa,Credit,Z,2,86.34568107,0,1,0,1,0,15,0,0,0,yahoo.co.uk,2,0,0,109.2.165.91,93021,34.31,-118.87
WFGZN7OQPR,0,1,0,Mastercard,Credit,N,2,176.8881425,0,1,0,1,1,9,0,0,0,gmail.com,3,1,15.10139995,210.218.182.23,94112,37.72,-122.44
NG84V8DCTD,0,0,0,Mastercard,Credit,A,3,82.86212197,0,1,0,1,0,21,1,0,1,gotmail.net,1,0,0,19.29.55.35,32566,30.36,-87.17
7FBQAC07M9,0,0,0,Amex,Credit,Z,2,22.63037409,0,1,0,1,1,9,0,0,0,outlook.com,2,1,15.56116915,117.213.203.15,90255,33.97,-118.21
C8DJKR2UDL,0,0,0,JCB,Credit,Z,2,34.80402882,0,0,1,1,0,16,0,0,0,aol.com,2,0,0,23.56.202.64,37857,36.4,-83
2KV9UCB5CV,0,0,0,Amex,Credit,Y,1,109.9391308,0,1,0,1,0,14,0,0,0,yahoo.com,2,0,0,174.157.39.56,33782,27.85,-82.7
SO4MRIN1Q0,0,1,1,Mastercard,Debit,Y,4,207.3633629,0,1,0,1,1,11,0,0,0,gotmail.net,2,1,64.13446834,219.102.218.169,90034,34.02,-118.39
RF70J1P4AW,0,0,0,Visa,Credit,Y,4,63.0287784,0,1,0,1,0,19,0,0,0,gmail.com,1,0,0,37.212.5.122,54935,43.77,-88.44
GZC3PVAGWB,0,0,0,Visa,Credit,Z,3,26.31092495,0,1,0,1,0,15,0,1,0,gmail.com,2,0,0,13.20.210.42,17960,40.68,-75.99
15GBT2TZ6M,0,1,0,Visa,Credit,N,1,14.24896734,1,1,0,1,1,16,0,0,1,gmail.com,1,0,0,159.164.206.51,94598,37.91,-122.01
O2J2CVLC6W,0,0,0,Mastercard,Credit,Y,3,25.55164372,0,1,0,1,0,8,0,0,1,att.net,2,0,0,154.156.185.193,56187,43.62,-95.59
VGYUS95MKO,0,0,0,Amex,Credit,Y,4,140.7273751,0,1,0,1,1,18,0,0,0,gmail.com,2,1,40.44043601,30.125.128.139,28075,35.32,-80.66
KFEP3HNYKJ,0,0,0,Discover,Credit,A,2,35.57937747,0,1,0,1,1,13,0,1,0,gmail.com,2,1,2.08780698,206.188.34.98,60202,42.04,-87.68
S40P003Z6B,0,1,0,Discover,Credit,Y,4,57.01307084,1,1,0,1,1,12,0,0,1,gmail.com,1,0,0,139.134.136.18,78957,30,-97.15
03U6IJ3B9T,0,1,0,Visa,Credit,Y,2,32.0986132,0,1,0,1,0,14,0,0,0,yahoo.com,2,1,5.496757832,37.31.113.180,75407,33.18,-96.5
8G91CT09ZW,0,0,0,Diners Club,Credit,Y,1,53.77866735,0,1,1,1,0,16,0,0,0,gmail.com,2,0,0,68.31.70.39,34952,27.27,-80.35
4ME33EQL5Y,0,0,0,Discover,Credit,Y,3,82.58183377,0,1,0,1,1,17,1,0,0,xmaily.com,6,1,12.3464982,215.97.129.112,90501,33.83,-118.31
XZRHYIQXZP,0,0,0,Amex,Credit,Y,5,98.58448407,0,1,0,1,0,19,1,1,0,yahoo.com,3,0,0,191.164.13.104,65646,37.34,-93.7
ZPPYSLANPU,0,0,0,Amex,Credit,N,2,40.37967238,0,1,0,1,0,12,0,1,0,gmail.com,6,0,0,116.4.43.173,11235,40.64,-73.94
EEYO5TT2IL,0,0,0,Discover,Credit,Z,3,70.18594277,0,1,0,1,0,15,0,1,0,aol.com,2,1,41.33536227,86.208.112.130,61848,40.3,-87.7
1RZPPEVLZ7,0,1,0,Other,Other,Y,4,133.4231876,0,1,0,1,1,21,0,0,0,yopmail.com,1,0,0,202.205.175.219,21158,39.57,-77
JIR6ZATSE9,0,0,0,Mastercard,Debit,Y,4,60.47308019,0,1,0,1,1,14,0,0,0,xmaily.com,2,0,0,205.0.9.172,61107,42.27,-89.06
53WXTU0IZB,0,0,0,Other,Credit,Y,5,50.43253382,0,1,0,1,0,12,1,0,0,aol.com,2,0,0,92.145.228.21,31088,32.61,-83.63
BEESEM07GI,0,1,0,Amex,Credit,Y,2,109.3094413,0,1,1,1,1,20,0,0,0,gmail.com,2,1,51.90862999,7.77.160.225,30519,34.11,-83.99
E587TYWWG9,0,0,0,Diners Club,Credit,Y,2,88.28331277,0,1,0,1,0,17,0,0,0,gmail.com,1,0,0,109.168.70.69,11757,40.68,-73.37
HNB1AVXGG6,0,1,0,Discover,Credit,Y,4,170.7100549,0,1,0,1,0,19,0,0,0,aol.com,2,1,25.29404964,209.204.60.243,37849,36.03,-84.02
BT4JTSWB99,0,1,0,Visa,Debit,Z,3,39.25831569,0,1,0,1,1,8,0,0,1,gotmail.net,3,0,0,212.143.121.230,21043,39.27,-76.83
LPDFKIGL2L,0,0,0,Mastercard,Credit,A,3,47.23068739,0,1,0,1,1,17,0,0,0,gmail.com,3,0,0,144.242.195.97,22630,38.92,-78.18
8MO21Z9QMD,0,0,0,Mastercard,Debit,Y,3,16.05119866,1,1,0,1,0,17,0,0,0,yahoo.com,1,0,0,198.13.25.175,8402,39.33,-74.5
MEK83BJSY6,0,0,1,Visa,Debit,Y,4,101.0643841,0,1,0,1,0,11,0,0,0,gmail.com,3,1,44.0937784,194.247.236.86,85015,33.5,-112.1
E7LXA9P8HO,0,0,0,JCB,Credit,Y,2,32.89634514,1,1,0,1,0,18,1,1,1,yahoo.com,4,0,0,48.228.78.252,36312,31.18,-85.23
WTMHLA669X,0,1,0,Visa,Credit,Y,3,52.69782372,0,1,0,1,0,13,0,0,0,yahoo.com,1,1,7.583440104,71.122.109.110,23452,36.73,-76.04
Y9GS6P3C9P,106.2113121,1,0,Visa,Credit,N,1,106.2113121,0,1,0,1,0,15,0,0,0,yopmail.com,1,1,6.695349845,8.206.170.172,30114,34.24,-84.49
82GLBZC1PP,0,0,0,Mastercard,Credit,Z,4,41.78849815,0,1,0,1,1,9,0,0,0,yahoo.com,2,0,0,174.201.43.87,53121,42.67,-88.54
